"Наименование";"Вид деятельности";"Форма собственности";"ОГРН";"ОКПО";"Банк";"БИК";"Факс";"ОКЭВД";"Регион";"Город";"Численнность сотрудников";"Ген. Директор";"Учредители";"Все ОКВЭД";"Адрес";"Индекс";"Телефон";"E-mail";"Сайт";"Выручка";"Надежность";"ИНН";"КПП";"Дата регистраций";"Сертификаты"
"ООО ""ОП ""ДАРТИС ГРУП""";"Деятельность частных охранных служб";"Общества с ограниченной ответственностью";"1057810137714";"76190227";"-";"-";"-";"80.10";"Санкт-Петербург";" г.Пушкин";"0";"Шатик Дмитрий Васильевич";"-";"74.60";"196607, Санкт-Петербург г, г.Пушкин, ул.Ленинградская, д.2";"196607";"1502868";"-";"-";"-";"55";"7820302675";"782001001";"2005-03-18";"-"
"ООО ""ОП ""ШЕРИФ-ПЕТЕРБУРГ""";"Деятельность частных охранных служб";"Общества с ограниченной ответственностью";"1027809007710";"25885850";"-";"-";"(812)2731988";"80.10";"Санкт-Петербург";" г.Пушкин";"0";"Волкова Екатерина Юрьевна";"-";"74.60";"196608, Санкт-Петербург г, г.Пушкин, ул.Оранжерейная, д.60А";"196608";"8122731178";"-";"-";"-";"50";"7820017251";"782001001";"1995-10-16";"-"
